"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1646","String Comparison","chromium","Thu Nov 27 17:17:35 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
"","1162","Reverse a string","chromium","Thu Nov 27 17:17:35 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
"","26621","Login to Sherwin Account","chromium","Thu Nov 27 17:17:35 EST 2025","passed","Thu Nov 27 17:18:02 EST 2025","","Practice.spec.js","",""
"","1241","Check for Frequency for Char","chromium","Thu Nov 27 17:17:36 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
"","1906","Check for Prime Number1 Array","chromium","Thu Nov 27 17:17:35 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
"","55938","Login to Sherwin Account","chromium","Thu Nov 27 17:17:35 EST 2025","failed","Thu Nov 27 17:18:31 EST 2025","","SherwinW.spec.js","",""
"","14284","Login to Sherwin Account","chromium","Thu Nov 27 17:17:36 EST 2025","failed","Thu Nov 27 17:17:50 EST 2025","","SherwinPaintSearch.spec.js","",""
"","1799","Check for Prime Number","chromium","Thu Nov 27 17:17:35 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
"","659","Check for cookies","chromium","Thu Nov 27 17:17:36 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
"","1540","Check for palindrome","chromium","Thu Nov 27 17:17:35 EST 2025","passed","Thu Nov 27 17:17:37 EST 2025","","Practice.spec.js","",""
